기간,행정구역별,구분,계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
2017,성북구,한국인,444055 ,15397 ,18202 ,18755 ,23000 ,31660 ,32221 ,29844 ,34603 ,36152 ,40804 ,33714 ,34876 ,28706 ,20991 ,17354 ,14586 ,7833 ,3476 ,1196 ,373 ,312 
2017,성북구,등록외국인,11352 ,236 ,119 ,81 ,1232 ,4292 ,1794 ,1047 ,637 ,433 ,444 ,425 ,315 ,167 ,61 ,32 ,18 ,14 ,3 ,1 ,-,1 
2017,강북구,계,328002 ,9699 ,10886 ,11304 ,15622 ,22138 ,22863 ,21437 ,24736 ,24774 ,29044 ,26273 ,28864 ,23832 ,18428 ,15345 ,12535 ,6257 ,2562 ,907 ,278 ,218 
2017,강북구,한국인,324479 ,9618 ,10835 ,11275 ,15539 ,21708 ,22304 ,20985 ,24386 ,24529 ,28731 ,25897 ,28544 ,23691 ,18378 ,15322 ,12527 ,6252 ,2559 ,905 ,277 ,217 
2017,강북구,등록외국인,3523 ,81 ,51 ,29 ,83 ,430 ,559 ,452 ,350 ,245 ,313 ,376 ,320 ,141 ,50 ,23 ,8 ,5 ,3 ,2 ,1 ,1 
2017,도봉구,계,346234 ,11115 ,12515 ,13353 ,18399 ,23926 ,23673 ,22188 ,25224 ,25488 ,30861 ,28553 ,31712 ,25739 ,17622 ,13713 ,11511 ,6236 ,2973 ,1043 ,249 ,141 
2017,도봉구,한국인,344166 ,11062 ,12483 ,13328 ,18325 ,23675 ,23336 ,21883 ,25015 ,25323 ,30662 ,28383 ,31586 ,25660 ,17594 ,13704 ,11507 ,6235 ,2973 ,1042 ,249 ,141 
2017,도봉구,등록외국인,2068 ,53 ,32 ,25 ,74 ,251 ,337 ,305 ,209 ,165 ,199 ,170 ,126 ,79 ,28 ,9 ,4 ,1 ,-,1 ,-,-
2017,노원구,계,558075 ,19054 ,22289 ,27109 ,37188 ,42380 ,35805 ,34419 ,41006 ,44544 ,54348 ,45151 ,45015 ,35524 ,24338 ,18450 ,15724 ,9207 ,4360 ,1504 ,421 ,239 
2017,노원구,한국인,554403 ,18984 ,22251 ,27088 ,36904 ,41546 ,35192 ,33973 ,40705 ,44297 ,54090 ,44919 ,44842 ,35434 ,24308 ,18432 ,15713 ,9204 ,4359 ,1503 ,421 ,238 
2017,노원구,등록외국인,3672 ,70 ,38 ,21 ,284 ,834 ,613 ,446 ,301 ,247 ,258 ,232 ,173 ,90 ,30 ,18 ,11 ,3 ,1 ,1 ,-,1 
2017,은평구,계,491202 ,16746 ,18882 ,19681 ,25514 ,32040 ,34086 ,34122 ,40175 ,39875 ,44116 ,37954 ,40468 ,32984 ,24228 ,19811 ,16145 ,8650 ,3673 ,1333 ,350 ,369 
2017,은평구,한국인,486794 ,16630 ,18806 ,19609 ,25309 ,31695 ,33512 ,33534 ,39679 ,39508 ,43700 ,37538 ,40092 ,32782 ,24149 ,19773 ,16119 ,8641 ,3668 ,1331 ,350 ,369 
2017,은평구,등록외국인,4408 ,116 ,76 ,72 ,205 ,345 ,574 ,588 ,496 ,367 ,416 ,416 ,376 ,202 ,79 ,38 ,26 ,9 ,5 ,2 ,-,-
2017,서대문구,계,325028 ,10933 ,11194 ,11695 ,16349 ,27275 ,27098 ,23299 ,24721 ,24195 ,28181 ,24890 ,25617 ,20315 ,14736 ,12778 ,11183 ,6338 ,2712 ,1002 ,290 ,227 
2017,서대문구,한국인,312800 ,10768 ,11035 ,11536 ,15338 ,23148 ,25004 ,22219 ,24027 ,23716 ,27661 ,24359 ,25108 ,19983 ,14579 ,12686 ,11129 ,6301 ,2694 ,994 ,289 ,226 
2017,서대문구,등록외국인,12228 ,165 ,159 ,159 ,1011 ,4127 ,2094 ,1080 ,694 ,479 ,520 ,531 ,509 ,332 ,157 ,92 ,54 ,37 ,18 ,8 ,1 ,1 
2017,마포구,계,385783 ,14687 ,14759 ,14670 ,17663 ,28163 ,34428 ,34831 ,35091 ,32619 ,33667 ,27276 ,27183 ,21131 ,15222 ,12833 ,10852 ,6309 ,2830 ,949 ,343 ,277 
2017,마포구,한국인,374915 ,14479 ,14578 ,14523 ,17136 ,25724 ,32391 ,33533 ,34164 ,31985 ,33009 ,26630 ,26577 ,20830 ,15096 ,12773 ,10821 ,6290 ,2816 ,944 ,340 ,276 
2017,마포구,등록외국인,10868 ,208 ,181 ,147 ,527 ,2439 ,2037 ,1298 ,927 ,634 ,658 ,646 ,606 ,301 ,126 ,60 ,31 ,19 ,14 ,5 ,3 ,1 
2017,양천구,계,475018 ,16103 ,20879 ,25380 ,32048 ,33231 ,30554 ,30219 ,35642 ,38891 ,47743 ,40394 ,38958 ,29742 ,20254 ,13973 ,10367 ,6096 ,3038 ,1055 ,300 ,151 
2017,양천구,한국인,471154 ,15993 ,20793 ,25335 ,32003 ,33050 ,30141 ,29715 ,35202 ,38516 ,47296 ,39859 ,38552 ,29563 ,20192 ,13957 ,10359 ,6089 ,3035 ,1055 ,299 ,150 
2017,양천구,등록외국인,3864 ,110 ,86 ,45 ,45 ,181 ,413 ,504 ,440 ,375 ,447 ,535 ,406 ,179 ,62 ,16 ,8 ,7 ,3 ,-,1 ,1 
2017,강서구,계,608255 ,25348 ,24249 ,23001 ,28873 ,39187 ,49661 ,53262 ,56620 ,48599 ,49226 ,44003 ,49742 ,40452 ,27811 ,19541 ,14324 ,8075 ,4166 ,1520 ,400 ,195 
2017,강서구,한국인,601691 ,25101 ,24124 ,22956 ,28769 ,38896 ,48899 ,52321 ,55872 ,48069 ,48536 ,43178 ,49016 ,40109 ,27702 ,19503 ,14294 ,8068 ,4164 ,1519 ,400 ,195 
2017,강서구,등록외국인,6564 ,247 ,125 ,45 ,104 ,291 ,762 ,941 ,748 ,530 ,690 ,825 ,726 ,343 ,109 ,38 ,30 ,7 ,2 ,1 ,-,-
